10:2:15690000000:22840000000:7:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 07
10:2:22840000000:27360000000:8:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 08
10:2:27360000000:28940000000:9:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 09
10:2:28940000000:29360000000:10:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 10
10:2:29360000000:30390000000:11:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 11
10:2:30390000000:37560000000:12:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 12
10:2:37560000000:42780000000:13:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 13
10:2:42780000000:43640000000:14:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 14
10:2:43640000000:44060000000:15:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 15
10:2:44060000000:45090000000:16:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 16
10:2:45090000000:50230000000:17:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 17
10:2:50230000000:57070000000:18:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 18
10:2:57070000000:58340000000:19:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 19
10:2:58340000000:58760000000:20:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 20
10:3:0:1020000000:1:H:/DetectiveConan/Rips/10-3\title_t00.mkv:Chapter 01
10:3:1020000000:6660000000:2:H:/DetectiveConan/Rips/10-3\title_t00.mkv:Chapter 02
10:3:6660000000:13040000000:3:H:/DetectiveConan/Rips/10-3\title_t00.mkv:Chapter 03
10:3:13040000000:14270000000:4:H:/DetectiveConan/Rips/10-3\title_t00.mkv:Chapter 04
10:3:14270000000:14690000000:5:H:/DetectiveConan/Rips/10-3\title_t00.mkv:Chapter 05
10:3:14690000000:15710000000:6:H:/DetectiveConan/Rips/10-3\title_t00.mkv:Chapter 06
10:3:15710000000:23520000000:7:H:/DetectiveConan/Rips/10-3\title_t00.mkv:Chapter 07
10:3:23520000000:28110000000:8:H:/DetectiveConan/Rips/10-3\title_t00.mkv:Chapter 08
10:3:28110000000:28960000000:9:H:/DetectiveConan/Rips/10-3\title_t00.mkv:Chapter 09
10:3:28960000000:29380000000:10:H:/DetectiveConan/Rips/10-3\title_t00.mkv:Chapter 10
10:3:29380000000:30400000000:11:H:/DetectiveConan/Rips/10-3\title_t00.mkv:Chapter 11
10:3:30400000000:35600000000:12:H:/DetectiveConan/Rips/10-3\title_t00.mkv:Chapter 12
10:3:35600000000:42810000000:13:H:/DetectiveConan/Rips/10-3\title_t00.mkv:Chapter 13
10:3:42810000000:43660000000:14:H:/DetectiveConan/Rips/10-3\title_t00.mkv:Chapter 14
10:3:43660000000:44080000000:15:H:/DetectiveConan/Rips/10-3\title_t00.mkv:Chapter 15
10:3:44080000000:45100000000:16:H:/DetectiveConan/Rips/10-3\title_t00.mkv:Chapter 16
10:3:45100000000:50200000000:17:H:/DetectiveConan/Rips/10-3\title_t00.mkv:Chapter 17
10:3:50200000000:56310000000:18:H:/DetectiveConan/Rips/10-3\title_t00.mkv:Chapter 18
